Ranking,Title,Author,Average Rating
1,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,4.59
2,Yellowface,R.F. Kuang,3.79
3,Meet Me at the Lake,Carley Fortune,3.7
4,The Wishing Game,Meg Shaffer,4.11
5,"Practice Makes Perfect (When in Rome, #2)",Sarah Adams,4.02
6,Ward D,Freida McFadden,4.03
7,The True Love Experiment,Christina Lauren,4.13
8,The Covenant of Water,Abraham Verghese,4.46
9,The Collected Regrets of Clover,Mikki Brammer,4.18
10,"The Will of the Many (Hierarchy, #1)",James Islington,4.63
11,Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah,4.14
12,The Guest,Emma Cline,3.31
13,When Women Were Dragons,Kelly Barnhill,3.87
14,Did You Hear About Kitty Karr?,Crystal Smith Paul,3.76
15,Clytemnestra,Costanza Casati,4.25
16,"The Book That Wouldn’t Burn (The Library Trilogy, #1)",Mark Lawrence,4.08
17,The Secret Book of Flora Lea,Patti Callahan Henry,4.08
18,Ink Blood Sister Scribe,Emma Törzs,4.04
19,The Celebrants,Steven Rowley,3.65
20,Bad Summer People,Emma Rosenblum,3.46
21,The Senator's Wife,Liv Constantine,3.78
22,The Half Moon,Mary Beth Keane,3.41
23,Atalanta,Jennifer Saint,3.79
24,The Ferryman,Justin Cronin,3.93
25,"The Pucking Wrong Number (Pucking Wrong, #1)",C.R. Jane,3.54
26,Witch King,Martha Wells,3.72
27,Drowning,T.J. Newman,4.17
28,Identity,Nora Roberts,4.35
29,"Good Night, Irene",Luis Alberto Urrea,4.15
30,Once More with Feeling,Elissa Sussman,3.58
31,"The Sun and the Star: A Nico di Angelo Adventure (Camp Half-Blood Chronicles, #17)",Rick Riordan,4.26
32,Mrs. Nash's Ashes,Sarah Adler,4.06
33,"Cherish (Crave, #6)",Tracy Wolff,3.88
34,Quietly Hostile: Essays,Samantha Irby,3.71
35,"Runaway Love (Cherry Tree Harbor, #1)",Melanie Harlow,4.12
36,No Two Persons,Erica Bauermeister,4.1
37,"Imogen, Obviously",Becky Albertalli,4.25
38,The Marriage Act,John Marrs,3.82
39,"Atlas: The Story of Pa Salt (The Seven Sisters, #8)",Lucinda Riley,4.51
40,The Salt Grows Heavy,Cassandra Khaw,3.6
41,On Our Best Behavior: The Seven Deadly Sins and the Price Women Pay to Be Good,Elise Loehnen,3.82
42,The Midnight Library,Matt Haig,4
43,The Boyfriend Candidate,Ashley Winstead,3.82
44,"Threads That Bind (Threads That Bind, #1)",Kika Hatzopoulou,3.95
45,Warrior Girl Unearthed,Angeline Boulley,4.35
46,"King (Alliance, #2)",S.J. Tilly,4.16
47,Queen Charlotte,Julia Quinn,4.15
48,The Postcard,Anne Berest,4.38
49,"The Throne of Broken Gods (Gods and Monsters, #2)",Amber V. Nicole,4.24
50,When the Rain Ends,Mary Ellen Taylor,4.13
51,A Very Typical Family,Sierra Godfrey,3.47
52,Tell Me Everything,Minka Kelly,4.31
53,The Late Americans,Brandon Taylor,3.41
54,Darling Venom,Parker S. Huntington,4.3
55,Summer Reading,Jenn McKinlay,3.5
56,The Chateau,Jaclyn Goldis,3.52
57,King: A Life,Jonathan Eig,4.68
58,"Detonate (Beneath the Mask, #2)",Luna Mason,4.09
59,"Iced Out (Heston U Hotshots, #1)",Veronica Eden,3.92
60,One Moment in Time,Shari Low,4.18
61,The Making of Another Major Motion Picture Masterpiece,Tom Hanks,3.7
62,Contractually Yours (The Lasker Brothers #4),Nadia Lee,3.96
63,No One Needs to Know,Lindsay Cameron,3.48
64,"Liars Like Us (Morally Gray, #1)",J.T. Geissinger,4.03
